"id","date_time","incident_num","location","apt_lot","type_id","lat","lng","group"
3610,10/19/12 10:45 PM,2012200664,"16 NINTH ST S-CO",,17,38.95093,-92.32738,-1
7344,10/06/12 09:55 PM,2012192301,"DOWNTOWN",,22,38.9525,-92.3305,2
3031,10/22/12 05:39 AM,2012201948,"1407 ROLLING ROCK DR-CO",,4,38.92082,-92.31977,-1
8428,10/03/12 04:49 PM,2012190006,"STADIUM BLVD N-CO/BROADWAY W-CO",,1,38.954,-92.3714,-1
6670,10/09/12 05:16 PM,2012193878,"ASH ST W-CO/BERNADETTE DR-CO",,3,38.9573,-92.369,-1
6815,10/08/12 11:49 PM,2012193517,"ASH ST W-CO/MCBAINE AV-CO",,44,38.9544,-92.3423,-1
2647,10/23/12 07:48 PM,2012202907,"600 WALNUT ST E-CO",,2,38.95248,-92.33047,-1
7316,10/06/12 11:58 PM,2012192364,"700 GARTH AV N-CO",414,17,38.9596,-92.33842,-1
8228,10/04/12 03:54 AM,2012190442,"100 BUSINESS LOOP 70 E-CO",,18,38.96458,-92.33599,-1
7978,10/04/12 09:40 PM,2012190930,"1005 CHERRY ST-CO","STEPHEN",39,38.95083,-92.32578,-1
3903,10/18/12 09:54 PM,2012199996,"OLD HIGHWAY 63 S-CO/STADIUM BLVD E-CO",,7,38.9321,-92.3115,-1
9008,10/01/12 08:19 PM,2012188829,"2401 BERNADETTE DR-CO",101,17,38.9665,-92.37536,-1
2715,10/23/12 02:50 PM,2012202712,"200 BLK NIFONG BLVD E-CO",,7,38.91,-92.3374,-1
4890,10/15/12 05:07 PM,2012197817,"2409 HENDRIX DR-CO",,37,38.96677,-92.30146,-1
5322,10/14/12 02:07 AM,2012196977,"416 NINTH ST S-CO",,24,38.94669,-92.3273,-1
8648,10/02/12 10:19 PM,2012189586,"1001 HARDIN ST-CO",,42,38.96369,-92.35145,-1
2494,10/24/12 11:58 AM,2012203278,"HIGHWAY 63 S SB-CO/GRINDSTONE PKWY-CO",,3,38.9129,-92.2938,-1
8985,10/01/12 09:35 PM,2012188880,"1600 BROADWAY E-CO",,14,38.94981,-92.31585,-1
2209,10/25/12 05:28 AM,2012203962,"SOUTHWOOD DR-CO/OLD HIGHWAY 63 S-CO",,1,38.9426,-92.3069,-1
2728,10/23/12 01:27 PM,2012202674,"109 NIFONG BLVD E-CO",,16,38.91024,-92.33796,-1
4845,10/15/12 07:32 PM,2012197911,"STADIUM BLVD E-CO/ROCK QUARRY RD-CO",,1,38.9347,-92.3231,-1
8635,10/02/12 10:54 PM,2012189597,"1501 VANDIVER DR-CO",90,10,38.97304,-92.31812,-1
